Word,Description1,Description2,Description3,Description4,Description5
スパイシーモス,『スパイシーモス』は、１９９４年にモスバーガーで発売されたハンバーガーです。構成としてはシンプルなハンバーガーですが、ハラペーニョの辛さがアクセントになっていて食べ応えがあります。,『スパイシーモス』は、１９９４年にモスバーガーで発売されたハンバーガーです。構成としてはシンプルなハンバーガーですが、ハラペーニョの辛さがアクセントになっていて食べ応えがあります。,『スパイシーモス』は、１９９４年にモスバーガーで発売されたハンバーガーです。構成としてはシンプルなハンバーガーですが、ハラペーニョの辛さがアクセントになっていて食べ応えがあります。,『スパイシーモス』は、１９９４年にモスバーガーで発売されたハンバーガーです。構成としてはシンプルなハンバーガーですが、ハラペーニョの辛さがアクセントになっていて食べ応えがあります。,『スパイシーモス』は、１９９４年にモスバーガーで発売されたハンバーガーです。構成としてはシンプルなハンバーガーですが、ハラペーニョの辛さがアクセントになっていて食べ応えがあります。
小麦粉部屋,『小麦粉部屋』は、若手力士が中心の相撲部屋です。所属する力士は全員が小麦粉を愛好しています。また部屋には、小麦粉を使ったトレーニング器具も充実しています。小麦粉部屋は、小麦粉を愛する力士が集う明るく楽しい部屋です。,『小麦粉部屋』は、若手力士が中心の相撲部屋です。所属する力士は全員が小麦粉を愛好しています。また部屋には、小麦粉を使ったトレーニング器具も充実しています。小麦粉部屋は、小麦粉を愛する力士が集う明るく楽しい部屋です。,『小麦粉部屋』は、若手力士が中心の相撲部屋です。所属する力士は全員が小麦粉を愛好しています。また部屋には、小麦粉を使ったトレーニング器具も充実しています。小麦粉部屋は、小麦粉を愛する力士が集う明るく楽しい部屋です。,『小麦粉部屋』は、若手力士が中心の相撲部屋です。所属する力士は全員が小麦粉を愛好しています。また部屋には、小麦粉を使ったトレーニング器具も充実しています。小麦粉部屋は、小麦粉を愛する力士が集う明るく楽しい部屋です。,『小麦粉部屋』は、若手力士が中心の相撲部屋です。所属する力士は全員が小麦粉を愛好しています。また部屋には、小麦粉を使ったトレーニング器具も充実しています。小麦粉部屋は、小麦粉を愛する力士が集う明るく楽しい部屋です。
打ち上げ花火,『打ち上げ花火』は、夜空に放たれる美しい花火です。円錐形の筒に火薬とカラフルな顔料を詰め、点火すると空へ舞い上がり、さまざまな形や色の花びらを咲かせます。,『打ち上げ花火』は、夜空に放たれる美しい花火です。円錐形の筒に火薬とカラフルな顔料を詰め、点火すると空へ舞い上がり、さまざまな形や色の花びらを咲かせます。,『打ち上げ花火』は、夜空に放たれる美しい花火です。円錐形の筒に火薬とカラフルな顔料を詰め、点火すると空へ舞い上がり、さまざまな形や色の花びらを咲かせます。,『打ち上げ花火』は、夜空に放たれる美しい花火です。円錐形の筒に火薬とカラフルな顔料を詰め、点火すると空へ舞い上がり、さまざまな形や色の花びらを咲かせます。,『打ち上げ花火』は、夜空に放たれる美しい花火です。円錐形の筒に火薬とカラフルな顔料を詰め、点火すると空へ舞い上がり、さまざまな形や色の花びらを咲かせます。
アポロ11号,『アポロ11号』は、アメリカ航空宇宙局（NASA）による有人宇宙飛行計画「アポロ計画」の第11号ミッションです。アームストロング船長は「これは小さな一歩ですが、人間にとっては偉大な飛躍です」という有名な言葉を残しました。,『アポロ11号』は、アメリカ航空宇宙局（NASA）による有人宇宙飛行計画「アポロ計画」の第11号ミッションです。アームストロング船長は「これは小さな一歩ですが、人間にとっては偉大な飛躍です」という有名な言葉を残しました。,『アポロ11号』は、アメリカ航空宇宙局（NASA）による有人宇宙飛行計画「アポロ計画」の第11号ミッションです。アームストロング船長は「これは小さな一歩ですが、人間にとっては偉大な飛躍です」という有名な言葉を残しました。,『アポロ11号』は、アメリカ航空宇宙局（NASA）による有人宇宙飛行計画「アポロ計画」の第11号ミッションです。アームストロング船長は「これは小さな一歩ですが、人間にとっては偉大な飛躍です」という有名な言葉を残しました。,『アポロ11号』は、アメリカ航空宇宙局（NASA）による有人宇宙飛行計画「アポロ計画」の第11号ミッションです。アームストロング船長は「これは小さな一歩ですが、人間にとっては偉大な飛躍です」という有名な言葉を残しました。
東京オリンピック,『東京オリンピック』は、2020年に予定されていた世界最大のスポーツイベントでした。しかし、COVID-19パンデミックの影響で1年延期され、2021年に無観客や制限付きで実施されました。,『東京オリンピック』は、2020年に予定されていた世界最大のスポーツイベントでした。しかし、COVID-19パンデミックの影響で1年延期され、2021年に無観客や制限付きで実施されました。,『東京オリンピック』は、2020年に予定されていた世界最大のスポーツイベントでした。しかし、COVID-19パンデミックの影響で1年延期され、2021年に無観客や制限付きで実施されました。,『東京オリンピック』は、2020年に予定されていた世界最大のスポーツイベントでした。しかし、COVID-19パンデミックの影響で1年延期され、2021年に無観客や制限付きで実施されました。,『東京オリンピック』は、2020年に予定されていた世界最大のスポーツイベントでした。しかし、COVID-19パンデミックの影響で1年延期され、2021年に無観客や制限付きで実施されました。
スイカ,『スイカ』は夏に食べたくなる定番の果物です。緑色の外見と真っ赤な中身のコントラストは、人間の二面性を象徴しているといわれます。外見を取り繕うことによりその文明を発展させてきた人類が、元来いかに愚かで醜い生き物であるかを、夏が来るたびに思い出すべきです。,『スイカ』は夏に食べたくなる定番の果物です。緑色の外見と真っ赤な中身のコントラストは、人間の二面性を象徴しているといわれます。外見を取り繕うことによりその文明を発展させてきた人類が、元来いかに愚かで醜い生き物であるかを、夏が来るたびに思い出すべきです。,『スイカ』は夏に食べたくなる定番の果物です。緑色の外見と真っ赤な中身のコントラストは、人間の二面性を象徴しているといわれます。外見を取り繕うことによりその文明を発展させてきた人類が、元来いかに愚かで醜い生き物であるかを、夏が来るたびに思い出すべきです。,『スイカ』は夏に食べたくなる定番の果物です。緑色の外見と真っ赤な中身のコントラストは、人間の二面性を象徴しているといわれます。外見を取り繕うことによりその文明を発展させてきた人類が、元来いかに愚かで醜い生き物であるかを、夏が来るたびに思い出すべきです。,『スイカ』は夏に食べたくなる定番の果物です。緑色の外見と真っ赤な中身のコントラストは、人間の二面性を象徴しているといわれます。外見を取り繕うことによりその文明を発展させてきた人類が、元来いかに愚かで醜い生き物であるかを、夏が来るたびに思い出すべきです。
業務連絡,本部より通達。昨晩、河口湖畔第二ベースが当局による家宅捜索を受け機能停止。エージェント２名が逮捕されるという事態が発生。当分の間、当該ベースから半径２０キロ圏内を警戒区域とし、表立った活動を控えるものとする。,本部より通達。昨晩、河口湖畔第二ベースが当局による家宅捜索を受け機能停止。エージェント２名が逮捕されるという事態が発生。当分の間、当該ベースから半径２０キロ圏内を警戒区域とし、表立った活動を控えるものとする。,本部より通達。昨晩、河口湖畔第二ベースが当局による家宅捜索を受け機能停止。エージェント２名が逮捕されるという事態が発生。当分の間、当該ベースから半径２０キロ圏内を警戒区域とし、表立った活動を控えるものとする。,本部より通達。昨晩、河口湖畔第二ベースが当局による家宅捜索を受け機能停止。エージェント２名が逮捕されるという事態が発生。当分の間、当該ベースから半径２０キロ圏内を警戒区域とし、表立った活動を控えるものとする。,本部より通達。昨晩、河口湖畔第二ベースが当局による家宅捜索を受け機能停止。エージェント２名が逮捕されるという事態が発生。当分の間、当該ベースから半径２０キロ圏内を警戒区域とし、表立った活動を控えるものとする。
アナゴ天,『アナゴ天』は、アナゴを天ぷらにしたものです。白身がふっくらと揚げられており、甘みと香ばしさが絶妙です。夏の暑い日に、冷たい天つゆでアナゴ天を食べる爽快感は格別です。,『アナゴ天』は、アナゴを天ぷらにしたものです。白身がふっくらと揚げられており、甘みと香ばしさが絶妙です。夏の暑い日に、冷たい天つゆでアナゴ天を食べる爽快感は格別です。,『アナゴ天』は、アナゴを天ぷらにしたものです。白身がふっくらと揚げられており、甘みと香ばしさが絶妙です。夏の暑い日に、冷たい天つゆでアナゴ天を食べる爽快感は格別です。,『アナゴ天』は、アナゴを天ぷらにしたものです。白身がふっくらと揚げられており、甘みと香ばしさが絶妙です。夏の暑い日に、冷たい天つゆでアナゴ天を食べる爽快感は格別です。,『アナゴ天』は、アナゴを天ぷらにしたものです。白身がふっくらと揚げられており、甘みと香ばしさが絶妙です。夏の暑い日に、冷たい天つゆでアナゴ天を食べる爽快感は格別です。
常套句,『常套句』とは、ある特定の場面で決まって使われる定型的な言葉や言い回しです。,『常套句』とは、ある特定の場面で決まって使われる定型的な言葉や言い回しです。,『常套句』とは、ある特定の場面で決まって使われる定型的な言葉や言い回しです。,『常套句』とは、ある特定の場面で決まって使われる定型的な言葉や言い回しです。,『常套句』とは、ある特定の場面で決まって使われる定型的な言葉や言い回しです。
こぼす,こぼす,こぼす,こぼす,こぼす,こぼす
注ぐ,注ぐ,注ぐ,注ぐ,注ぐ,注ぐ
業務連絡,サーバーの位置を特定。北緯３５度３２分、東経１４０度２６分、千葉県九十九里町海水浴場、ポセイドンカフェ,サーバーの位置を特定。北緯３５度３２分、東経１４０度２６分、千葉県九十九里町海水浴場、ポセイドンカフェ,サーバーの位置を特定。北緯３５度３２分、東経１４０度２６分、千葉県九十九里町海水浴場、ポセイドンカフェ,サーバーの位置を特定。北緯３５度３２分、東経１４０度２６分、千葉県九十九里町海水浴場、ポセイドンカフェ,サーバーの位置を特定。北緯３５度３２分、東経１４０度２６分、千葉県九十九里町海水浴場、ポセイドンカフェ
パスワード検知,パスワード『いちご』検出。作業員の立ち入りを確認。,パスワード『いちご』検出。作業員の立ち入りを確認。,パスワード『いちご』検出。作業員の立ち入りを確認。,パスワード『いちご』検出。作業員の立ち入りを確認。,パスワード『いちご』検出。作業員の立ち入りを確認。
パスワード検知,パスワード『メロン』を検知。第二エリアに作業員到着。,パスワード『メロン』を検知。第二エリアに作業員到着。,パスワード『メロン』を検知。第二エリアに作業員到着。,パスワード『メロン』を検知。第二エリアに作業員到着。,パスワード『メロン』を検知。第二エリアに作業員到着。
サウンド,本日のサウンドリラクゼーションはインドネシア、スマトラ島,本日のサウンドリラクゼーションはインドネシア、スマトラ島,本日のサウンドリラクゼーションはインドネシア、スマトラ島,本日のサウンドリラクゼーションはインドネシア、スマトラ島,本日のサウンドリラクゼーションはインドネシア、スマトラ島
こぼす,作業員の意識に『こぼす』を検知。,作業員の意識に『こぼす』を検知。,作業員の意識に『こぼす』を検知。,作業員の意識に『こぼす』を検知。,作業員の意識に『こぼす』を検知。
パスワード検知,パスワード『ブルーハワイ』を検知。第三エリアに作業員到着。,パスワード『ブルーハワイ』を検知。第三エリアに作業員到着。,パスワード『ブルーハワイ』を検知。第三エリアに作業員到着。,パスワード『ブルーハワイ』を検知。第三エリアに作業員到着。,パスワード『ブルーハワイ』を検知。第三エリアに作業員到着。
作戦成功,メインサーバーの破壊完了を確認。作戦、成功,メインサーバーの破壊完了を確認。作戦、成功,メインサーバーの破壊完了を確認。作戦、成功,メインサーバーの破壊完了を確認。作戦、成功,メインサーバーの破壊完了を確認。作戦、成功
